kommune_kode,kommune_navn,life_expectancy_ratio,education_ratio,disposable_income_ratio,employment_ratio,child_poverty_ratio,gini_ratio,vacant_housing_ratio,social_avg,overall_avg
360,Lolland,95.2,78.5,82.5,92.5,93.2,95.5,85.2,88.94,88.94
370,Næstved,98.5,90.5,94.2,97.8,97.5,98.2,94.8,95.93,95.93
376,Guldborgsund,96.8,82.2,88.5,95.8,95.2,96.8,88.2,91.93,91.93
390,Vordingborg,97.5,85.5,90.2,96.2,96.8,97.5,90.5,93.46,93.46
400,Bornholm,97.8,85.2,90.5,96.5,97.2,98.2,89.5,93.56,93.56
410,Christiansø,,,,,,,,,
420,Assens,98.5,88.2,93.5,97.8,98.5,99.2,93.5,95.6,95.6
430,Faaborg-Midtfyn,98.8,90.5,94.2,97.5,98.8,99.5,92.8,96.01,96.01
440,Kerteminde,99.2,92.5,96.2,98.2,99.5,100.2,94.5,97.19,97.19
450,Langeland,95.8,78.2,82.8,93.2,96.5,98.2,82.5,89.6,89.6
461,Odense,99.5,105.8,98.5,97.2,92.5,93.8,96.5,97.69,97.69
479,Svendborg,98.8,95.2,94.8,97.2,97.5,98.5,92.8,96.4,96.4
480,Nordfyns,98.2,85.5,91.8,97.5,99.5,100.5,92.5,95.07,95.07
482,Nyborg,98.5,88.8,93.5,97.5,98.2,99.1,94.2,95.69,95.69
492,Ærø,96.5,80.2,85.5,94.5,98.8,100.5,80.5,90.93,90.93
510,Haderslev,98.2,88.5,93.2,97.8,98.2,99.2,93.8,95.56,95.56
530,Billund,100.2,92.8,98.5,102.5,101.2,101.5,95.8,98.93,98.93
540,Sønderborg,98.5,90.2,94.5,98.2,98.8,99.5,92.5,96.03,96.03
550,Tønder,97.5,82.5,88.8,96.5,98.5,99.8,88.5,93.16,93.16
561,Esbjerg,98.8,95.5,97.2,98.5,97.2,98.2,95.5,97.27,97.27
563,Fanø,101.2,98.5,105.2,100.5,102.5,103.8,88.5,100.03,100.03
573,Varde,99.2,88.2,95.5,100.2,100.5,101.2,93.5,96.9,96.9
575,Vejen,99.5,88.5,95.8,100.8,101.2,101.8,94.2,97.4,97.4
580,Aabenraa,97.8,85.5,91.2,97.2,98.5,99.5,91.5,94.46,94.46
607,Fredericia,98.5,92.5,95.8,98.2,96.8,97.5,95.5,96.4,96.4
615,Horsens,99.2,95.8,97.5,99.5,97.5,98.2,96.2,97.7,97.7
621,Kolding,100.2,100.5,101.2,100.5,98.8,99.2,97.5,99.7,99.7
630,Vejle,100.5,102.8,103.5,100.8,99.2,99.5,97.2,100.5,100.5
657,Herning,100.2,95.8,99.5,102.2,100.8,101.2,96.5,99.46,99.46
661,Holstebro,99.8,92.5,97.2,100.5,100.2,100.8,94.8,97.97,97.97
665,Lemvig,97.5,82.5,88.5,97.8,101.5,102.5,87.5,93.97,93.97
671,Struer,98.2,85.5,92.5,98.5,100.5,101.2,90.5,95.27,95.27
706,Syddjurs,99.5,92.8,97.2,98.8,99.8,100.5,93.5,97.44,97.44
707,Norddjurs,97.8,82.5,88.8,96.5,98.5,99.8,88.5,93.2,93.2
710,Favrskov,101.2,102.5,105.2,101.5,101.5,101.8,98.8,101.79,101.79
727,Odder,101.5,100.2,103.5,100.8,101.2,101.5,97.5,100.89,100.89
730,Randers,98.5,92.5,95.2,98.2,96.8,97.5,95.5,96.31,96.31
740,Silkeborg,101.2,102.8,103.8,101.2,100.5,100.8,97.8,101.16,101.16
741,Samsø,97.2,78.5,85.2,95.8,102.5,105.2,78.5,91.84,91.84
746,Skanderborg,102.5,110.5,112.8,102.2,101.5,101.2,99.5,104.31,104.31
751,Aarhus,100.8,115.2,102.5,98.5,90.2,88.5,97.5,99.03,99.03
756,Ikast-Brande,99.5,88.2,97.5,102.5,102.2,102.5,95.2,98.23,98.23
760,Ringkøbing-Skjern,99.2,85.5,95.8,102.8,102.5,103.2,92.5,97.36,97.36
766,Hedensted,100.8,95.2,101.5,101.5,101.8,102.2,97.2,100.03,100.03
773,Morsø,97.2,78.5,85.8,96.2,100.5,102.2,84.5,92.13,92.13
779,Skive,98.5,85.2,92.5,98.8,101.2,102.2,90.5,95.56,95.56
787,Thisted,97.8,82.5,90.5,98.5,101.5,102.5,87.5,94.4,94.4
791,Viborg,100.2,98.5,99.8,101.2,100.8,101.2,96.5,99.74,99.74
810,Brønderslev,98.8,85.2,92.5,98.8,100.8,101.5,91.5,95.59,95.59
813,Frederikshavn,97.5,82.8,88.5,96.8,98.8,100.2,88.5,93.3,93.3
820,Vesthimmerlands,98.2,82.5,90.2,98.2,101.2,102.2,88.8,94.47,94.47
825,Læsø,95.8,72.5,80.5,94.5,103.5,106.8,72.5,89.44,89.44
840,Rebild,100.8,95.2,100.5,101.5,102.2,102.8,96.5,99.93,99.93
846,Mariagerfjord,98.5,85.2,92.5,98.8,100.5,101.5,90.5,95.36,95.36
849,Jammerbugt,98.2,82.5,90.8,98.5,101.5,102.5,88.5,94.64,94.64
851,Aalborg,99.8,108.5,100.2,98.8,95.2,96.5,96.8,99.4,99.4
860,Hjørring,97.5,82.5,88.8,97.2,99.8,101.2,87.5,93.5,93.5
